country,fund_name,fund_manager,financial_product,target_area,support_type,sector_focus,commitment_eur,currency,address,website
Germany,42CAP IV GmbH & Co. KG,42CAP Manager GmbH,EIF Enabling sectors,Artificial Intelligence (AI);Space,Venture Capital,ICT,5000000.0,EUR,Seitzstraße 23,https://www.42cap.com/
Germany,Allianz Impact Private Credit,lia Global Investors,EIF CMU,Debt and hybrid debt-equity funds,,Generalist,20000000.0,EUR,Seidlstrasse 24–24a,https://www.allianzgi.com/
Germany,Space Ventures Fund GmbH &,in pa Ve tu res,EIF Enabling sectors,Space,Venture Capital,,40000000.0,EUR,,https://alpinespace.vc/
Germany,lantic Labs Co-Invest III GmbH & Co.,la tic Labs Manager,EIF Enabling sectors,Space,Venture Capital,,5299557.0,EUR,Rosenthalerstrasse 13,https://atlanticlabs.de/
Germany,Beyond Capital Partners Fund III,nd Capital Partners,EIF CMU,Growth and expansion,Private Equity,,30000000.0,EUR,"35.OG, Taunusanlage 1",www.beyondcapital-partners.com
Germany,lry ro Opportunity Fund II,lr re,EIF CMU,Growth and expansion,Venture Capital,,2400000.0,EUR,Novalisstr. 12,https://www.nap.vc
Germany,al Technologies Fonds GmbH,ta trepreneurial,,Artificial Intelligence (AI);Cybersecurity;Other Digital,Venture Capital,,17000000.0,EUR,HAFENWEG 24,www.ecapital.de
Germany,reen Generation Fund GmbH & Co.,en tio,EIF C&E Solutions,,Venture Capital,,15000000.0,EUR,ZEHDENICKER STR. 12 C,
Germany,Capital COIFacility GmbH & Co.,HV Capital Manager GmbH,EIF Enabling sectors,Space,Venture Capital,,20300000.0,EUR,Kaiserstraße 14b,https://www.hvventures.com/
Germany,ch lo gy Transfer Fund II,Khanu Management GmbH,EIF Enabling sectors,Life science and health,TTA,Life Science,7485000.0,EUR,Otto-Hahn-Str. 15,https://www.khanu.de
Germany,KKA Value Fund II GmbH & Co. KG,KKA Management GmbH,EIF CMU,,Private Equity,Generalist,20000000.0,EUR,Gipsstr. 8/9,https://www.kkapartners.com
Germany,KKA Value Fund II GmbH & Co. KG,KKA Management GmbH,,,Private Equity,Generalist,10000000.0,EUR,Gipsstr. 8/9,https://www.kkapartners.com
Germany,Gm & .,,EIF Enabling sectors,,Venture Capital,,12232500.0,EUR,Liebigstr. 8,https://matterwave.vc/
Germany,ucleus Capital Fund II GmbH & Co.,al nd,EIF C&E Solutions,,Venture Capital,h e m i c a ls a nd,5700000.0,EUR,Kleine Hamburger Straße 16,https://www.nucleus-capital.com/
Germany,rim Green Energy Infrastructure,Prime Capital AG,ra nds,Clean Energy Transition-Climate,Infrastructure,Infrastructure,100000000.0,EUR,,https://primecapital-ag.com/
Germany,Ve-Squared GmbH & Co. KG,tu re,EIF Enabling sectors,Space,Venture Capital,,20300000.0,EUR,HILDEGARDSTR. 8,https://www.vsquared.vc/
Germany,Vsquared Ventures II GmbH & Co. KG,tu re,EIF Enabling sectors,Industrial Technologies;Semiconductor chips;Semiconductor technologies;Space,Venture Capital,ICT,19900000.0,EUR,HILDEGARDSTR. 8,https://www.vsquared.vc/
Germany,WF World Fund GmbH & Co. KG,ld nd,EIF C&E Solutions,,Venture Capital,,22500000.0,EUR,GERICHTSTR. 23,https://www.worldfund.vc/
Greece,UNI.FUND II,fu Ve re Ca ta,,Artificial Intelligence (AI);Education Tech;Other Digital,Venture Capital,ICT,20000000.0,EUR,Agiou Dimitriou 4,http://uni.fund/
Hungary,Impact Ventures III,Impact Ventures Zrt.,,Skills &amp; Education;Social impact Investing &amp; Social Innovation,Venture Capital,Generalist,20000000.0,EUR,Lövoház utca 7-9. II.,http://www.impactventures.hu
Ireland,Blue Revolution Fund L.P.,lu ion,EIF C&E Solutions,"Agriculture, Food, natural capital preservation and use of land resources;Blue Economy;Other adaptation solutions",Venture Capital,,20000000.0,EUR,7/8 LIBERTY STREET,https://www.hatch.blue/
Ireland,DCL Green Energy Solutions Fund,ol ut io ns,ra nds,Clean Energy Transition-Climate;Environment and resources,Infrastructure,,125000000.0,EUR,,https://www.sdclgroup.com/
Ireland,WakeUp Capital Fund,,,Skills &amp; Education;Social Entrepreneurship;Social impact Investing &amp; Social Innovation,Venture Capital,,6250000.0,EUR,25-28 North Wall Quay,https://www.wakeupcapital.com/
Ireland,Willow Corporate Credit DAC,ES A' DI,EIF CMU,Debt and hybrid debt-equity funds,,,25000000.0,EUR,Riverside One,https://www.dunportcapital.ie/
Italy,21 Invest Healthcare,ES A' DI,EIF CMU,Growth and expansion,Private Equity,Science,30000000.0,EUR,,https://www.21invest.com/en/
Italy,ie stainable Credit,Ambienta SGR SpA,EIF CMU,Debt and hybrid debt-equity funds,,Generalist,30000000.0,EUR,Pizza Fontana 6,http://www.ambientasgr.com/
Italy,Anima Alternative,Anima Alternative Sgr SpA,EIF CMU,Debt and hybrid debt-equity funds,,Generalist,30000000.0,EUR,"Corso Giuseppe Garibaldi, 99",https://animaalternative.it/en/
Italy,Deep Blue Ventures,S. .A .,EIF Enabling sectors,,TTA,,5000000.0,EUR,,
Italy,Endeka Credito Italia,Endeka SGR SPA,EIF CMU,Debt and hybrid debt-equity funds,,,25000000.0,EUR,"VIA DEGLI OMENONI, 2",https://endekasgr.it/
Italy,Equita Green Impact Fund,Equita Capital SGR Spa,Infrastructure Funds,Clean Energy Transition-Climate,Infrastructure,Infrastructure,69800000.0,EUR,VIA FILIPPO TURATI 9,https://sgr.equita.eu
Italy,MITO Tech Ventures SLP RAIF-SICAV,MI.TO Technology S.r.l.,EIF C&E Solutions,s o l u t i o n s ;I n d u s tr ia l d e c a rb o n is a t i o n & a m p ; e n v ir o n m e n ta l su s t a in a b il i ty ;I n du s t r ia l T e c h n o l o g ie s ; O t he r a daptation,TTA,,15000000.0,EUR,"40 , VIA FILIPPO TURATI",mitotech.eu
Italy,PMI Italia III,in ia ia In te rn zi al,EIF CMU,Debt and hybrid debt-equity funds,,Generalist,30000000.0,EUR,"Via Vittorio Alfieri, 1",https://www.finint.com/en/
Italy,Primo Health,Primo Ventures SGR S.p.A.,EIF CMU,Growth and expansion,Private Equity,Life Science,30000000.0,EUR,Viale Luigi Majno 18,https://www.primo.vc
Italy,Programma 103,P101 SGR SpA,,,Venture Capital,ICT,30000000.0,EUR,Via Visconti di Modrone 12,http://www.p101.it/en/
Italy,Tages Credit Fund,Tages Capital SGR S.p.A.,EIF CMU,Debt and hybrid debt-equity funds,,Generalist,15000000.0,EUR,"Corso Venezia, 18",https://www.tagescapitalsgr.com
